coordinate,mean,variance
1,2.3858005976053995,13.519063796476683
2,2.2625122345769806,12.94259055978112
3,2.286000358284127,13.04343937145207
4,2.4307931757059427,13.300746785608787
5,2.3502914839057603,13.23285210633216
6,2.2895485974177707,13.452083121574756
7,2.3490756610869097,12.74455098485574
8,2.389745508837733,13.517182250224385
9,2.256201271444641,13.274905187759247
10,2.3301535399840367,13.531670547411178
11,2.3487818942291003,13.484898386668224
12,2.323065830661856,13.286758670862282
13,2.2986987463637134,13.496806017399502
14,2.354969786026378,13.057379321674016
15,2.350407654803804,13.254596810215672
16,2.3228178858283095,12.956377742339892
17,2.3733194053724085,13.14924983234659
18,2.3262628960699545,13.229676231403014
19,2.2511209011928375,12.982810650995152
20,2.3667048739398786,13.107541120756387
21,2.4239700346808077,13.39245855889485
22,2.283732101888747,13.155431016712429
23,2.336953340658345,13.238811757558171
24,2.453684267217031,13.600626625794453
25,2.349504479215945,13.827432357888055
26,2.282272363111689,13.029292388187264
27,2.4441079923918414,13.428699671562068
28,2.3645802623482246,13.122082551978998
29,2.2882893011819525,12.873661247903291
30,2.3339591668422863,13.01303588401529
31,2.335427874015151,13.3872575151127
32,2.284969034515547,13.102465322700809
33,2.326001713814648,13.304810120156016
34,2.365218850213973,13.133715763979875
35,2.382525932687873,13.44422702187332
36,2.347653664196939,13.146666509014349
37,2.3346789939421595,13.472709424617479
38,2.314343518516467,13.358994328376152
39,2.3495659647804654,13.21163952849846
40,2.3998220769208527,13.132096332882707
