object,split,count
trajectories,train,34
trajectories,val,7
trajectories,test,7
one_step,train,136000
one_step,val,28000
one_step,test,28000
rollout_h1000,train,102034
rollout_h1000,val,21007
rollout_h1000,test,21007
rollout_h200,train,129234
rollout_h200,val,26607
rollout_h200,test,26607
rollout_h50,train,134334
rollout_h50,val,27657
rollout_h50,test,27657
statistics,train,68068
statistics,val,14014
statistics,test,14014
