object,split,count
trajectories,train,4
trajectories,val,1
trajectories,test,1
one_step,train,2000
one_step,val,500
one_step,test,500
rollout_h100,train,1604
rollout_h100,val,401
rollout_h100,test,401
rollout_h25,train,1904
rollout_h25,val,476
rollout_h25,test,476
statistics,train,1208
statistics,val,302
statistics,test,302
