coordinate,mean,variance
1,2.1853266746207898,10.601254998731534
2,2.807528354347166,13.213832231215523
3,1.8626834463337583,13.152830842414744
4,1.9277511330829336,11.352778717994157
5,2.801630473626849,15.828415854126598
6,2.117443130849492,13.793213679345472
7,2.126180331718564,14.560440652026585
8,2.2483365815148075,12.168006282532229
9,2.547623593505912,12.362653586758663
10,2.4161602651358702,11.305885231142453
11,2.583150182624746,13.637698751487873
12,2.7832479879330987,12.487170171980647
13,2.1037360518874553,9.522722642987
14,2.30278527512783,11.4827077957622
15,2.9110714083728,12.903219243652181
16,2.53857530218955,16.802250776502103
17,2.496276720862982,13.976015912248949
18,2.719958184241388,14.566530789767693
19,2.096178444762009,12.31564445394179
20,2.3426614276202664,12.902681036144335
21,2.50544844213122,14.979055611674148
22,2.277736883904346,12.474703955540079
23,2.4600725290753642,12.561934942162166
24,1.9774733907213713,13.044755965724532
25,1.861815477583396,13.149159988953777
26,2.264911450977465,11.91279496529688
27,2.3311328069554142,13.297850987315254
28,1.946214381038754,10.180916640411649
29,2.1869287261436616,13.157957650703457
30,2.3355746497144434,11.740372239469462
31,2.6494095984167,13.808439767016187
32,1.9814749251974064,15.100008956311667
33,2.0848470063655546,12.192244387614044
34,2.3924561144718695,13.087608108799024
35,2.602907285285306,12.950348917922414
36,2.856491453336117,15.300645874829042
37,2.2373854509623663,16.075695631956183
38,2.305345800501845,11.61410544381816
39,2.967606893926083,14.66664904505321
40,1.9547238918294794,12.588254492980546
