object,split,count
trajectories,train,3
trajectories,val,1
trajectories,test,2
one_step,train,4500
one_step,val,1500
one_step,test,3000
rollout_h250,train,3753
rollout_h250,val,1251
rollout_h250,test,2502
rollout_h50,train,4353
rollout_h50,val,1451
rollout_h50,test,2902
statistics,train,3006
statistics,val,1002
statistics,test,2004
