quantity,x,y,z
mean,-8.147647718916618e-16,1.1211559881768265e-15,23.523692423260616
variance,62.68295129125049,81.15363496309368,74.55956777498547
covariance_row_1,62.68295129125064,62.70560751587998,-2.8391074774032945e-15
covariance_row_2,62.70560751587998,81.15363496309341,3.0782649880102444e-17
covariance_row_3,-2.8391074774032945e-15,3.0782649880102444e-17,74.55956777498412
